,latitude,temperature,humidity,cloudiness,wind speed
ostrovnoy,68.05,8.8,94,100,5.25
palm coast,29.55,29.93,58,40,3.1
castro,-42.48,4.0,93,90,3.6
saint-philippe,45.36,24.06,64,1,2.6
port-gentil,-0.72,28.0,69,40,8.2
afyonkarahisar,38.76,32.0,35,40,2.1
georgetown,6.8,25.92,78,75,2.1
buraydah,26.33,45.0,12,0,4.1
nahariyya,33.01,29.22,66,20,5.1
yenagoa,4.92,24.5,93,100,1.87
strezhevoy,60.73,10.0,93,90,3.0
superior,39.95,22.55,40,1,2.6
new norfolk,-42.78,10.28,66,0,6.7
dikson,73.51,1.3,97,100,3.77
naron,43.52,19.93,82,75,2.1
viedma,-40.81,12.6,41,88,9.52
urucara,-2.54,30.9,56,69,3.11
urengoy,65.96,11.4,56,93,5.38
arraial do cabo,-22.97,26.0,83,20,4.6
pimentel,-3.7,31.1,53,100,2.66
lucapa,-8.42,32.5,16,0,1.38
pevek,69.7,1.4,82,100,10.87
camacupa,-12.02,24.7,21,0,2.79
kupang,-10.16,23.6,68,85,7.87
te anau,-45.41,6.4,80,83,2.86
camacha,33.08,22.44,60,20,5.7
kavieng,-2.57,29.2,74,100,6.43
buchanan,5.88,28.0,83,75,5.1
lazaro cardenas,28.39,26.27,41,75,2.1
victoria,5.28,25.8,88,90,1.5
vao,59.1,14.2,85,99,2.92
san pedro,-33.68,13.14,63,28,1.79
cidreira,-30.17,16.4,64,0,4.73
margate,-43.03,10.24,66,0,6.7
alofi,-19.06,22.0,88,4,3.6
farafangana,-22.82,19.8,97,56,2.0
sao gabriel,-30.34,11.2,71,0,4.91
asyut,27.18,43.0,14,0,7.2
flinders,-34.58,10.38,100,5,2.6
sao paulo de olivenca,-3.38,29.6,63,30,2.0
ribeira grande,38.52,22.0,49,20,6.7
abalak,15.46,36.6,26,67,2.23
portland,43.66,18.3,93,90,1.53
kavaratti,10.57,29.0,75,12,7.68
roseburg,43.22,11.7,76,90,2.1
puerto del rosario,28.5,26.14,61,20,7.7
savinka,50.08,26.4,35,100,1.95
sitka,37.17,28.2,53,0,9.49
ambilobe,-13.19,23.5,82,11,1.71
provideniya,64.42,8.0,97,100,1.02
acapulco,16.86,29.0,83,75,1.32
mahanoro,-19.9,19.4,97,0,0.8
herat,34.35,35.0,12,0,8.7
jashpurnagar,22.88,25.1,81,100,2.21
kingaroy,-26.54,12.6,93,40,3.1
hambantota,6.12,28.0,88,20,5.7
ilam,33.64,37.0,13,0,7.2
namibe,-15.19,19.2,79,0,5.83
wanning,48.64,30.78,48,20,4.1
havoysund,71.0,6.14,86,75,9.3
henties bay,-22.12,15.56,79,0,0.89
fort nelson,58.81,9.0,93,90,2.6
baherden,38.44,31.1,21,76,4.08
aketi,2.74,20.9,96,100,3.46
antofagasta,-23.65,17.22,76,90,3.6
udomlya,57.88,12.0,97,100,3.42
ilulissat,69.22,5.0,65,75,2.6
mascota,20.53,28.11,69,75,0.16
nanortalik,60.14,4.1,94,100,3.85
moree,-29.46,12.7,58,0,6.2
camp verde,34.56,22.67,23,1,2.6
saldanha,41.42,29.2,39,74,4.49
karratha,-20.74,21.9,69,26,6.36
latung,-8.45,18.7,94,79,2.29
uruguaiana,-29.77,12.0,71,0,4.6
kodiak,39.95,27.7,51,1,5.1
macomb,40.46,26.51,83,1,2.1
quibor,9.93,25.0,73,40,3.6
nacala,-14.56,22.6,69,51,3.22
noshiro,40.21,16.4,94,100,1.56
turukhansk,65.8,13.2,92,100,5.31
arlit,18.74,40.3,14,0,4.08
regeneracao,-6.24,31.3,46,0,4.01
lompoc,34.64,13.47,93,90,1.5
comodoro rivadavia,-45.87,0.0,50,90,3.1
san diego de los banos,22.65,31.6,54,5,4.65
havelock,34.88,31.18,40,1,1.58
matara,-3.48,13.7,87,100,1.58
the valley,18.22,27.97,74,75,6.2
rafaela,-31.25,13.64,40,78,3.13
dzaoudzi,-12.79,26.0,83,75,7.7
mahibadhoo,3.78,28.7,75,33,4.07
roald,62.58,12.13,87,75,4.6
san andres,13.32,25.9,90,100,3.79
krasnyy chikoy,50.36,12.2,96,100,2.33
kahului,20.89,21.44,73,1,2.1
hami,42.84,26.2,13,0,3.25
aktau,43.65,30.0,30,0,8.0
ternate,14.29,26.08,88,75,3.1
nagua,19.37,28.09,88,40,3.97
merauke,-8.49,26.0,82,59,10.57
kununurra,-15.77,12.0,66,0,2.8
rundu,-17.91,26.0,14,0,1.0
mackenzie,55.34,15.0,67,75,3.6
ochamchira,42.71,25.4,73,30,0.98
gornyy,51.76,16.8,83,100,1.62
drezdenko,52.84,17.6,72,56,6.23
saint pete beach,27.73,30.51,66,1,2.6
itarema,-2.92,31.0,58,64,4.94
piacabucu,-10.41,26.1,74,62,6.27
rio grande,-32.03,13.0,62,0,5.1
simbahan,6.3,28.7,80,100,6.36
alice springs,-23.7,8.0,45,33,2.1
verkhnevilyuysk,63.45,16.5,74,0,1.2
leninskoye,54.82,25.0,50,0,2.0
san cristobal,14.68,25.2,60,96,3.21
daru,-9.07,24.3,90,49,4.05
mahebourg,-20.41,22.88,78,40,4.1
taoudenni,22.68,47.3,4,0,6.09
bilibino,68.06,6.0,78,100,2.96
jalu,29.03,36.4,20,0,5.52
sorong,-0.86,24.7,90,100,2.4
belaya gora,68.54,14.6,44,46,2.71
hithadhoo,-0.6,28.8,71,100,2.86
gardner,38.81,27.82,78,1,5.1
tezu,27.93,22.1,98,100,2.35
banda aceh,5.56,29.2,75,29,5.9
wasilla,61.58,13.7,100,1,0.42
sao francisco,-25.65,16.0,93,90,3.1
aksu,52.04,17.0,77,75,7.0
zhigansk,66.77,19.0,48,64,1.47
port hedland,-20.31,15.0,93,0,2.86
taltal,-25.41,14.4,65,2,1.43
peruc,50.34,27.99,45,0,7.7
kapaa,22.08,24.71,88,75,6.2
vardo,39.62,29.07,61,1,0.67
goderich,43.74,22.91,78,0,3.96
tual,-5.67,25.7,84,33,7.51
saint-joseph,43.56,33.56,49,0,3.6
tiksi,71.64,9.9,75,100,5.23
nelson bay,-32.72,12.2,93,75,5.28
jumla,29.28,12.3,82,3,1.17
faanui,-16.48,26.4,72,6,1.54
marawi,8.0,27.22,87,100,1.79
syracuse,43.05,24.35,60,1,1.97
oranjemund,-28.55,12.8,84,0,6.24
lahaina,20.87,21.38,73,1,2.1
luderitz,-26.65,14.0,76,0,5.1
greymouth,-42.45,7.7,69,93,3.94
tabou,4.42,27.1,74,47,3.48
keetmanshoop,-26.57,27.0,11,0,5.1
boldumsaz,42.13,33.5,18,0,6.2
auki,12.18,33.7,36,0,0.94
pavlovka,52.69,15.6,84,73,2.59
taunggyi,20.78,21.1,93,81,2.67
roma,41.89,34.66,30,0,6.2
axim,4.87,25.7,82,77,6.05
bima,-8.45,17.3,91,25,0.69
ciudad guayana,8.32,28.89,68,20,1.79
isangel,-19.55,24.2,83,100,4.13
gedo,9.01,21.0,91,38,0.51
sirjan,29.44,35.3,12,100,3.4
neyshabur,36.21,27.6,15,0,5.02
parauna,-3.82,20.0,91,13,0.99
ballina,54.11,24.24,43,0,7.2
nanzhang,31.78,22.3,87,63,1.84
guerrero negro,27.97,17.6,85,4,4.36
novoagansk,61.94,10.1,79,100,5.86
hofn,64.25,12.0,87,90,2.1
kargasok,59.06,13.8,85,84,1.54
faya,18.39,32.03,8,40,5.1
barrow,-38.31,9.1,51,100,10.74
yumen,40.29,23.2,27,46,6.31
hobyo,5.35,26.9,63,4,13.57
frankfurt,49.68,29.71,25,0,6.2
ayia galini,35.1,29.79,69,40,8.2
codrington,-28.95,14.27,93,75,2.1
thanatpin,17.29,26.0,94,90,1.5
sampit,-2.54,23.2,98,24,1.22
leningradskiy,69.38,0.6,98,100,2.26
okahandja,-21.98,20.0,18,0,6.0
kapuskasing,49.42,18.0,77,75,3.1
kloulklubed,7.04,26.0,88,90,6.2
labytnangi,66.66,11.2,64,93,0.88
adrar,27.87,46.0,4,0,3.6
pierre,44.37,21.0,73,1,5.7
loviisa,60.46,16.38,87,75,2.6
castrovillari,39.82,35.0,100,60,3.58
dabwali,29.95,38.2,20,98,2.76
jacareacanga,-6.22,31.4,46,11,2.66
saint stephen,45.7,20.26,93,90,3.1
labuhan,-2.54,23.6,91,2,0.48
sarakhs,36.54,41.0,12,0,3.1
fuling,29.71,24.1,96,57,1.62
sabha,27.03,38.5,13,25,4.16
straseni,47.14,32.0,43,20,5.7
saint-raymond,46.89,22.35,73,75,2.61
boca do acre,-8.76,25.9,92,54,1.32
clyde river,70.47,6.0,75,75,7.2
richards bay,-28.77,22.3,73,0,12.74
dawlatabad,36.41,32.3,11,0,3.25
ponta do sol,-20.63,24.6,44,29,2.76
alma,39.28,13.65,38,40,4.6
ardahan,41.11,17.1,80,26,2.85
biak,-0.91,18.4,97,100,2.05
pahrump,36.21,25.85,15,1,2.1
vestmannaeyjar,63.44,12.0,100,90,3.6
souillac,45.6,36.56,34,0,5.7
cabo san lucas,22.89,27.11,30,5,2.15
massakory,13.0,29.1,51,100,2.38
colares,38.8,22.5,64,20,5.1
carballo,43.21,19.88,82,75,2.1
coquimbo,-29.95,14.7,81,0,1.5
baltoji voke,54.6,20.78,63,75,6.7
azul,-36.78,6.67,74,65,1.79
luangwa,-15.62,23.9,35,0,2.97
markova,52.21,14.39,87,40,4.0
tilichiki,60.47,6.1,95,100,0.49
alibag,18.64,28.59,88,75,5.1
grobina,56.54,16.57,72,0,5.1
chaumont,48.11,35.86,37,0,5.1
susanville,40.42,10.31,46,1,1.5
luanda,-8.83,25.0,69,0,6.2
along,28.17,16.4,99,100,1.57
sharjah,25.36,37.83,42,0,3.6
teahupoo,-17.83,23.93,83,1,1.0
kurilsk,45.23,8.4,85,100,4.61
sept-iles,50.2,15.0,82,75,6.7
agadez,16.97,39.0,21,1,1.5
engenheiro beltrao,-23.8,19.0,88,75,4.1
payo,-3.75,19.7,96,86,1.69
sao filipe,14.9,23.9,82,0,11.72
avera,33.19,27.82,74,1,2.1
moussoro,13.64,33.2,37,100,5.03
richmond,49.16,13.35,93,75,4.1
iqaluit,63.75,10.0,71,20,2.6
trincomalee,8.58,27.7,65,0,3.36
gerash,27.67,42.0,18,0,5.1
nioro,13.79,40.4,22,0,3.22
bambanglipuro,-7.95,24.5,80,24,4.94
palmas,-10.18,31.0,33,0,5.1
sosnovo,60.56,16.77,47,100,2.21
longjiang,47.33,14.4,80,100,5.98
storforshei,66.4,13.0,50,40,5.1
necochea,-38.55,10.0,58,100,5.81
tarabuco,-19.18,13.0,15,0,5.1
katsuura,33.93,23.57,100,75,3.1
gboko,7.32,29.0,70,73,3.81
waipawa,-39.94,-1.67,94,0,0.58
buala,-8.15,26.8,82,100,3.11
puerto baquerizo moreno,-0.9,22.0,94,40,6.7
beloha,-25.17,21.4,77,49,6.51
lewistown,40.39,26.02,69,1,2.6
bubaque,11.28,27.1,80,86,4.04
zlitan,32.47,27.8,60,0,7.24
sao joao da barra,-21.64,30.0,48,0,4.1
komsomolskiy,67.55,13.7,66,97,4.63
phillaur,31.02,36.6,20,0,3.79
la ronge,55.1,15.0,72,40,3.1
coruripe,-10.12,24.6,87,54,5.69
soyo,-6.13,27.0,57,20,4.1
hapao,16.88,17.5,99,100,1.3
shenjiamen,29.96,23.5,90,62,3.18
pudozh,61.81,18.5,52,100,1.42
ajaccio,41.93,32.93,70,0,4.1
polovinnoye,54.79,14.3,70,28,1.82
el carrizo,28.21,29.12,54,40,0.44
san marco in lamis,41.71,34.0,36,20,6.2
banes,20.96,31.0,66,40,6.7
tchollire,8.4,25.9,80,100,1.59
sal rei,16.18,27.0,69,75,11.8
batemans bay,-35.71,6.61,93,0,1.79
kruisfontein,-34.0,15.8,33,0,1.38
kinablangan,7.69,23.2,83,100,1.54
beringovskiy,63.05,6.2,89,33,1.73
padang,-0.92,29.3,69,97,2.69
bourail,-21.57,18.5,96,100,2.05
hailar,49.2,13.2,77,100,6.36
diamantino,-14.4,31.0,37,0,4.13
lydenburg,-25.1,17.1,36,0,1.26
naryan-mar,67.67,15.3,62,84,1.26
porto real do colegio,-10.19,26.3,76,61,6.69
bitung,1.44,22.4,95,100,1.47
port blair,11.67,28.9,80,100,9.47
north bend,43.41,11.88,93,90,3.1
bellmead,31.59,25.72,83,90,1.5
mount isa,-20.73,13.0,66,95,4.94
puri,-7.54,22.1,76,1,6.98
lusambo,-4.97,30.1,38,77,1.03
port moresby,-9.47,25.9,86,1,10.48
saskylakh,71.97,13.1,41,100,1.81
mugumu,-1.84,21.3,78,86,1.47
kamaishi,39.28,16.0,99,100,1.49
sauk rapids,45.59,20.75,88,90,2.1
vila nova de milfontes,37.72,21.92,64,0,1.79
mineiros,-17.57,26.1,43,70,3.93
raymond,49.47,12.35,93,90,3.1
pouembout,-21.12,20.9,89,100,2.55
airai,-8.93,18.9,77,3,2.67
hamilton,43.26,25.47,73,75,1.5
mbala,-8.85,24.0,36,0,2.4
amurzet,47.69,10.8,92,100,1.35
ironton,38.54,27.99,74,1,2.1
guspini,39.54,32.5,43,20,5.7
broome,52.47,18.02,72,20,6.2
collipulli,-37.96,8.0,100,90,3.6
pangai,-19.8,23.6,80,7,10.66
muros,42.77,21.34,77,75,2.6
nalut,31.86,34.9,18,0,5.56
sur,22.57,34.3,46,0,5.35
fare,-16.7,26.4,73,22,3.44
watertown,44.9,19.0,93,40,2.6
jessheim,60.14,22.49,37,0,1.5
porto velho,-8.75,26.0,94,40,1.0
flin flon,54.77,17.0,77,40,2.1
brawley,32.98,25.14,40,1,1.5
takoradi,4.89,27.0,77,100,3.91
samana,0.12,26.16,88,0,0.95
sao felix do xingu,-6.64,31.8,42,0,2.96
chiredzi,-21.05,21.7,42,0,1.78
ciampea,-6.55,25.96,74,20,1.0
arona,45.76,36.14,50,0,4.1
elizabeth city,36.3,30.01,54,1,3.1
isabela,10.2,28.1,79,100,6.16
nome,30.04,28.92,83,75,2.1
straumen,63.87,10.88,81,75,8.2
oro valley,32.39,28.56,24,1,1.51
puerto escondido,15.86,27.0,83,75,3.1
general roca,-39.03,12.0,58,0,7.2
mocuba,-16.84,19.1,86,15,1.62
souris,46.36,13.5,100,90,6.2
klaksvik,62.23,11.0,100,100,4.6
bagu,11.62,30.8,48,17,1.75
puerto rondon,6.28,29.6,57,38,2.99
aklavik,68.22,7.82,57,75,1.5
tombouctou,16.77,41.3,18,0,2.59
mazyr,52.05,21.2,73,16,8.25
debre sina,9.85,23.8,27,76,6.1
anadyr,64.73,7.88,93,75,7.0
honiara,-9.43,24.0,94,75,0.33
eureka,40.8,10.97,100,1,3.1
camabatela,-8.19,31.5,22,0,1.87
dublin,53.35,17.75,63,0,7.7
high level,58.52,12.0,87,90,6.2
kudahuvadhoo,2.67,28.2,73,65,2.22
tessalit,20.2,43.4,5,0,4.93
la paz,24.15,26.83,35,5,2.6
bangkalan,-7.05,23.4,78,11,0.69
geraldton,49.72,21.0,64,20,2.6
coahuayana,18.62,27.1,70,100,0.48
atherton,-17.27,18.88,73,75,5.1
chor,25.52,34.6,47,0,9.42
vacaville,38.36,13.92,87,1,1.48
saquena,-4.67,28.2,71,74,0.11
qeshm,26.96,35.42,67,20,6.2
hay river,60.82,10.0,81,75,1.0
nanacamilpa,19.48,16.56,48,75,2.6
gravdal,59.79,15.36,67,20,7.7
fernley,39.61,14.49,29,20,2.68
kenora,49.76,20.31,60,30,1.73
yacuiba,-22.01,16.0,67,40,3.1
digby,44.62,15.85,94,100,2.24
pallasovka,50.04,26.8,35,97,2.95
aquiraz,-3.9,28.99,58,20,9.8
daigo,36.78,22.42,88,75,8.2
qaqortoq,60.72,11.0,66,75,3.1
fairview,56.07,12.34,82,20,3.6
zbarazh,49.66,20.6,74,41,8.08
muscat,23.6,33.0,75,0,2.6
parga,43.39,20.34,82,75,2.1
borogontsy,62.67,15.0,54,0,2.2
najran,17.54,39.0,11,40,5.1
nadym,65.53,11.5,56,47,5.57
lorengau,-2.02,26.8,82,99,3.35
vila velha,-3.71,29.1,58,20,9.8
jiwani,25.05,30.4,81,0,7.59
kinango,-4.13,28.0,61,40,4.1
vrede,-27.43,14.4,41,94,3.71
xining,36.62,6.0,97,100,0.83
rincon,8.46,28.1,70,74,2.66
vaitape,-16.52,26.4,72,6,1.54
mechanicsville,37.62,30.49,55,1,2.6
ondjiva,-17.07,29.0,17,0,3.1
lamu,35.77,6.8,95,94,1.09
lima,-12.06,17.0,82,90,1.0
aginskoye,51.11,10.0,95,91,2.24
bosaso,11.28,31.2,71,52,2.81
kiunga,-6.12,22.6,99,100,0.91
salinopolis,-0.61,28.0,78,26,6.98
bloemfontein,-29.12,21.0,28,20,6.7
concarneau,47.88,32.25,62,0,5.1
karasjok,69.47,12.0,40,0,12.3
dhidhdhoo,6.88,28.9,74,27,5.52
jais,26.27,39.7,15,96,2.63
arbagar,51.94,12.8,87,0,3.81
tuy hoa,13.08,26.9,72,45,3.68
la romana,18.43,30.0,70,40,6.2
fonte boa,-2.51,28.3,68,21,2.22
mbandaka,0.05,30.4,54,97,1.11
kirakira,-10.46,26.4,83,100,3.37
plymouth,50.37,22.79,50,0,10.8
san quintin,17.54,23.3,99,100,1.58
diapaga,12.07,36.8,31,25,2.13
masaki,33.79,24.64,94,75,2.1
zyryanka,65.73,14.4,46,92,7.45
vilhena,-12.74,30.0,48,0,4.6
ingham,-18.65,17.8,91,100,0.73
hasaki,35.73,24.69,94,75,3.1
ginir,7.14,18.0,90,17,3.24
prince rupert,54.32,12.0,100,90,1.0
tooele,40.53,23.57,30,1,7.2
olavarria,-36.89,6.67,74,92,2.24
raigarh,21.9,33.8,48,93,3.12
khash,28.22,26.8,8,0,5.13
fort-shevchenko,44.51,27.2,55,23,2.75
marienburg,52.12,22.01,52,40,7.2
talnakh,69.49,8.0,81,75,1.0
quatre cocos,-20.21,22.89,78,40,4.1
chatham,42.41,25.32,57,1,1.5
kaitangata,-46.28,5.0,80,87,1.79
antalaha,-14.9,19.2,91,36,1.75
westport,41.14,28.57,54,1,3.1
nova olinda do norte,-3.89,31.4,57,12,1.92
estelle,43.97,35.35,41,0,4.6
vaasa,63.1,17.4,39,0,6.2
enfield,53.41,17.75,68,0,7.7
udachnyy,66.42,21.0,60,40,4.0
izumo,35.37,24.0,83,75,5.1
yanam,16.73,33.0,55,75,3.1
santo antonio do ica,-3.1,29.7,62,9,2.0
qasigiannguit,68.82,5.0,65,75,2.6
aitape,-3.15,25.0,88,32,2.08
jieshi,22.82,27.8,85,52,1.04
sao jose da coroa grande,-8.9,25.8,78,80,5.0
vila franca do campo,37.72,20.0,60,20,5.1
mexico,39.17,26.0,74,1,2.1
